rank,courseName,hole,par,yards,avg,+/-,eagle-,birdie,par,bogey,dblBogey,dblBogey+
1,Oakmont Country Club,9,4,472,4.520,+.520,0,21,214,170,35,4
2,Oakmont Country Club,15,4,507,4.505,+.505,0,25,216,163,35,5
3,Port Royal Golf Course,15,4,412,4.470,+.470,0,19,202,122,33,3
4,Torrey Pines Golf Course (North Course),2,4,495,4.469,+.469,0,2,84,53,7,1
5,Oakmont Country Club,8,3,289,3.466,+.466,0,12,239,168,24,1
6,Oakmont Country Club,3,4,462,4.450,+.450,1,34,221,149,32,7
7,Hurstbourne Country Club (Championship Course),1,4,515,4.434,+.434,0,38,227,139,36,7
8,Vidanta Vallarta,10,4,475,4.431,+.431,0,29,216,140,30,3
9,Quail Hollow Club,18,4,494,4.410,+.410,0,43,235,133,46,2
10,Caves Valley Golf Club,12,4,521,4.395,+.395,0,17,105,55,15,3
11,Quail Hollow Club,17,3,223,3.394,+.394,0,33,251,141,30,4
12,Torrey Pines Golf Course (North Course),13,4,459,4.374,+.374,0,12,78,49,6,2
13,Oakmont Country Club,18,4,502,4.367,+.367,0,34,235,156,16,3
14,Torrey Pines Golf Course (South Course),4,4,490,4.363,+.363,0,15,172,91,12,2
15,Colonial Country Club,5,4,476,4.354,+.354,0,27,260,102,30,5
16,Torrey Pines Golf Course (South Course),12,4,505,4.349,+.349,1,15,170,94,11,1
16,Oakmont Country Club,1,4,488,4.349,+.349,1,31,253,132,25,2
18,Torrey Pines Golf Course (North Course),4,4,479,4.340,+.340,0,10,86,42,9,0
19,Quail Hollow Club,16,4,529,4.327,+.327,0,26,273,144,16,0
20,The Renaissance Club,7,4,505,4.325,+.325,0,34,270,142,22,0
21,Augusta National Golf Club,5,4,495,4.324,+.324,0,18,178,88,10,2
22,Muirfield Village Golf Club,10,4,472,4.323,+.323,0,15,158,71,12,1
23,Torrey Pines Golf Course (North Course),12,3,203,3.320,+.320,0,11,87,41,7,1
23,Hurstbourne Country Club (Championship Course),6,3,233,3.320,+.320,0,17,284,133,12,1
25,Muirfield Village Golf Club,12,3,180,3.319,+.319,0,29,147,56,21,4
26,Torrey Pines Golf Course (South Course),12,4,505,4.317,+.317,0,14,153,76,9,0
27,Oakmont Country Club,2,4,346,4.313,+.313,0,53,236,125,24,6
28,Oakmont Country Club,7,4,485,4.309,+.309,0,34,262,127,19,2
29,TPC San Antonio (Oaks Course),1,4,454,4.305,+.305,0,31,247,127,13,2
29,Sedgefield Country Club,14,4,505,4.305,+.305,2,44,249,137,19,4
31,Royal Portrush Golf Club,14,4,466,4.303,+.303,0,30,273,134,12,3
32,Yokohama Country Club,14,4,508,4.301,+.301,0,28,191,71,15,7
33,Oakmont Country Club,16,3,236,3.300,+.300,0,30,269,128,16,1
34,Innisbrook Resort (Copperhead Course),16,4,475,4.298,+.298,0,44,275,109,26,6
34,Port Royal Golf Course,16,3,235,3.298,+.298,0,30,223,113,9,4
36,Hurstbourne Country Club (Championship Course),17,3,216,3.293,+.293,0,34,268,127,16,2
37,TPC San Antonio (Oaks Course),9,4,474,4.286,+.286,0,40,238,125,16,1
38,Caves Valley Golf Club,2,4,525,4.282,+.282,0,14,122,50,8,1
39,Quail Hollow Club,6,3,249,3.281,+.281,1,20,298,130,9,1
40,Vidanta Vallarta,16,4,505,4.278,+.278,0,29,256,121,12,0
41,TPC Toronto at Osprey Valley (North Course),17,4,530,4.277,+.277,0,29,273,133,8,1
42,TPC Sawgrass (THE PLAYERS Stadium Course),14,4,485,4.276,+.276,0,43,261,103,16,8
43,Hurstbourne Country Club (Championship Course),11,4,486,4.273,+.273,0,36,265,134,12,0
44,TPC Southwind,5,4,529,4.272,+.272,0,21,167,81,6,1
44,Port Royal Golf Course,13,3,235,3.272,+.272,0,19,249,100,11,0
46,Quail Hollow Club,9,4,530,4.270,+.270,0,24,294,134,7,0
47,Puntacana Resort (Corales Golf Course),17,3,214,3.266,+.266,0,30,250,112,8,3
48,Pebble Beach Golf Links,9,4,504,4.263,+.263,0,19,143,68,5,1
48,Royal Portrush Golf Club,4,4,502,4.263,+.263,0,35,285,116,13,3
50,Arnold Palmer's Bay Hill Club & Lodge,15,4,467,4.260,+.260,0,22,149,65,9,1
50,TPC San Antonio (Oaks Course),13,3,241,3.260,+.260,0,17,280,120,3,0
52,PGA National Resort (The Champion Course),6,4,479,4.259,+.259,0,38,258,108,20,0
53,TPC Sawgrass (THE PLAYERS Stadium Course),18,4,462,4.258,+.258,1,50,251,102,20,7
53,East Lake Golf Club,1,4,510,4.258,+.258,0,12,71,32,4,1
55,TPC Craig Ranch,12,4,493,4.257,+.257,0,50,266,108,24,3
56,Pete Dye Stadium Course,13,3,214,3.256,+.256,1,20,146,46,9,5
57,The Philadelphia Cricket Club (Wissahickon Course),18,4,517,4.254,+.254,0,27,167,80,8,1
58,TPC Twin Cities,9,4,502,4.251,+.251,0,58,257,124,23,1
59,TPC San Antonio (Oaks Course),4,4,481,4.248,+.248,0,29,265,119,7,0
59,The Renaissance Club,2,4,493,4.248,+.248,0,27,305,129,7,0
59,Royal Portrush Golf Club,11,4,475,4.248,+.248,0,45,269,122,14,2
62,Quail Hollow Club,11,4,462,4.246,+.246,0,42,275,129,13,0
62,Black Desert Resort,11,4,532,4.246,+.246,0,40,243,85,19,4
64,Port Royal Golf Course,8,3,213,3.245,+.245,0,26,244,100,8,1
65,Augusta National Golf Club,18,4,465,4.243,+.243,0,30,180,75,7,4
66,TPC Deere Run,9,4,503,4.242,+.242,0,38,272,113,14,1
67,Muirfield Village Golf Club,17,4,503,4.241,+.241,0,26,156,64,9,2
68,Augusta National Golf Club,11,4,520,4.240,+.240,0,14,211,58,12,1
69,Torrey Pines Golf Course (South Course),11,3,225,3.238,+.238,0,23,156,63,10,0
70,Innisbrook Resort (Copperhead Course),9,4,442,4.237,+.237,0,35,289,128,8,0
71,Arnold Palmer's Bay Hill Club & Lodge,14,3,215,3.236,+.236,0,12,169,60,5,0
72,Muirfield Village Golf Club,6,4,455,4.233,+.233,0,27,159,56,14,1
72,The Renaissance Club,11,4,511,4.233,+.233,0,40,291,126,10,1
74,Arnold Palmer's Bay Hill Club & Lodge,17,3,221,3.232,+.232,0,26,153,51,16,0
74,Oakmont Country Club,10,4,461,4.232,+.232,0,44,270,114,15,1
76,Torrey Pines Golf Course (North Course),18,4,486,4.231,+.231,0,15,87,41,4,0
76,TPC Deere Run,18,4,476,4.231,+.231,0,48,271,94,21,4
78,Augusta National Golf Club,17,4,440,4.230,+.230,1,33,169,83,10,0
78,TPC River Highlands,4,4,481,4.230,+.230,0,24,174,72,8,0
80,TPC Craig Ranch,8,4,509,4.228,+.228,0,47,269,124,9,2
81,Dunes Golf and Beach Club,8,4,475,4.226,+.226,2,34,251,104,9,2
82,Pete Dye Stadium Course,18,4,439,4.225,+.225,0,20,156,33,16,2
83,Hurstbourne Country Club (Championship Course),18,4,481,4.221,+.221,0,51,262,119,14,1
83,Caves Valley Golf Club,17,3,245,3.221,+.221,1,23,111,52,8,0
85,Pete Dye Stadium Course,6,3,227,3.220,+.220,0,16,158,41,11,1
85,Quail Hollow Club,1,4,505,4.220,+.220,0,37,289,128,5,0
85,Sedgefield Country Club,11,4,486,4.220,+.220,0,49,288,94,18,6
88,Quail Hollow Club,3,4,483,4.218,+.218,1,42,283,122,11,0
89,Black Desert Resort,13,4,519,4.217,+.217,0,51,235,80,20,5
90,Torrey Pines Golf Course (South Course),11,3,225,3.216,+.216,0,25,182,82,3,0
90,TPC Sawgrass (THE PLAYERS Stadium Course),8,3,236,3.216,+.216,0,37,275,109,9,1
90,Port Royal Golf Course,4,4,458,4.216,+.216,0,28,255,83,12,1
93,TPC Sawgrass (THE PLAYERS Stadium Course),5,4,469,4.213,+.213,0,45,275,89,19,3
94,Memorial Park Golf Course,1,4,522,4.212,+.212,0,21,310,109,3,0
95,Torrey Pines Golf Course (North Course),8,3,214,3.211,+.211,0,8,100,39,0,0
96,Colonial Country Club,4,3,248,3.210,+.210,0,24,293,101,6,0
97,Torrey Pines Golf Course (South Course),16,3,227,3.209,+.209,0,24,186,79,3,0
97,Augusta National Golf Club,4,3,240,3.209,+.209,0,22,193,78,3,0
99,TPC Scottsdale (Stadium Course),11,4,472,4.207,+.207,0,36,270,99,10,1
100,Dunes Golf and Beach Club,14,4,500,4.206,+.206,0,28,272,93,9,0
101,TPC Deere Run,15,4,484,4.205,+.205,1,52,266,95,23,1
101,Yokohama Country Club,11,4,510,4.205,+.205,0,24,217,54,17,0
103,Torrey Pines Golf Course (North Course),3,3,241,3.204,+.204,0,8,104,32,3,0
103,Torrey Pines Golf Course (North Course),6,4,416,4.204,+.204,0,15,91,38,2,1
105,TPC Twin Cities,2,4,468,4.203,+.203,0,68,275,86,27,7
106,The Philadelphia Cricket Club (Wissahickon Course),17,4,498,4.201,+.201,0,38,163,70,11,1
107,Torrey Pines Golf Course (South Course),15,4,480,4.199,+.199,0,25,187,78,1,1
108,Royal Portrush Golf Club,1,4,420,4.197,+.197,0,48,289,97,15,3
109,Innisbrook Resort (Copperhead Course),3,4,455,4.196,+.196,1,22,332,96,9,0
109,Puntacana Resort (Corales Golf Course),5,4,465,4.196,+.196,0,35,262,99,6,1
109,Yokohama Country Club,16,3,237,3.196,+.196,0,16,221,73,2,0
112,Muirfield Village Golf Club,18,4,480,4.195,+.195,0,35,148,65,7,2
113,The Philadelphia Cricket Club (Wissahickon Course),8,3,240,3.194,+.194,0,26,182,69,6,0
113,The Renaissance Club,18,4,483,4.194,+.194,0,50,291,114,12,1
115,Waialae Country Club,4,3,204,3.193,+.193,0,32,293,107,3,1
115,Port Royal Golf Course,18,4,410,4.193,+.193,0,45,228,94,12,0
117,Hurstbourne Country Club (Championship Course),3,4,487,4.192,+.192,0,54,275,97,20,1
117,Royal Portrush Golf Club,16,3,236,3.192,+.192,0,38,300,103,11,0
117,Silverado Resort (North Course),9,4,458,4.192,+.192,0,43,282,91,14,2
120,Sedgefield Country Club,18,4,507,4.191,+.191,0,58,275,101,19,2
121,Torrey Pines Golf Course (South Course),4,4,490,4.190,+.190,0,28,157,59,7,1
121,The Renaissance Club,9,3,218,3.190,+.190,0,40,312,106,8,2
123,Spyglass Hill Golf Course,18,4,430,4.188,+.188,0,12,44,21,3,0
124,Muirfield Village Golf Club,4,3,210,3.187,+.187,0,23,167,63,4,0
125,Innisbrook Resort (Copperhead Course),8,3,235,3.185,+.185,0,43,295,116,6,0
126,Puntacana Resort (Corales Golf Course),11,3,265,3.184,+.184,0,28,277,94,4,0
127,TPC Toronto at Osprey Valley (North Course),16,4,513,4.182,+.182,0,34,309,89,10,2
128,TPC Southwind,14,3,205,3.181,+.181,0,23,199,37,15,2
129,Arnold Palmer's Bay Hill Club & Lodge,2,3,231,3.179,+.179,0,23,163,53,7,0
130,TPC Toronto at Osprey Valley (North Course),13,4,526,4.178,+.178,1,33,303,100,7,0
131,Spyglass Hill Golf Course,5,3,203,3.175,+.175,0,4,60,14,2,0
131,Vidanta Vallarta,17,3,226,3.175,+.175,0,38,285,79,16,0
133,Black Desert Resort,1,4,501,4.174,+.174,0,41,252,89,7,2
134,The Renaissance Club,8,4,448,4.173,+.173,0,44,308,107,9,0
135,Torrey Pines Golf Course (South Course),7,4,462,4.171,+.171,0,45,161,78,7,1
135,Torrey Pines Golf Course (South Course),5,4,454,4.171,+.171,0,34,147,66,4,1
135,Arnold Palmer's Bay Hill Club & Lodge,18,4,458,4.171,+.171,1,43,130,60,9,3
135,TPC Toronto at Osprey Valley (North Course),9,4,500,4.171,+.171,0,33,308,97,6,0
135,Black Desert Resort,2,4,403,4.171,+.171,0,57,240,69,20,5
140,Oakmont Country Club,6,3,200,3.167,+.167,1,60,263,108,9,3
140,East Lake Golf Club,14,4,530,4.167,+.167,0,12,77,30,1,0
142,Augusta National Golf Club,1,4,445,4.166,+.166,0,25,202,64,5,0
143,Hurstbourne Country Club (Championship Course),14,4,438,4.163,+.163,1,53,278,102,13,0
144,Augusta National Golf Club,10,4,495,4.162,+.162,0,38,182,67,8,1
144,Dunes Golf and Beach Club,9,3,219,3.162,+.162,0,33,274,92,3,0
146,Quail Hollow Club,12,4,456,4.161,+.161,0,48,300,103,6,2
147,TPC San Antonio (Oaks Course),15,4,464,4.160,+.160,0,52,254,109,5,0
147,Muirfield Village Golf Club,1,4,490,4.160,+.160,0,28,164,61,4,0
149,Arnold Palmer's Bay Hill Club & Lodge,8,4,460,4.159,+.159,0,34,148,56,7,1
149,Quail Hollow Club,13,3,205,3.159,+.159,0,42,306,107,4,0
151,Waialae Country Club,13,4,477,4.158,+.158,0,37,297,98,4,0
151,East Lake Golf Club,15,3,215,3.158,+.158,0,19,76,13,11,1
153,Pebble Beach Golf Links,8,4,428,4.157,+.157,0,28,151,50,6,1
154,Torrey Pines Golf Course (North Course),15,3,202,3.156,+.156,0,20,88,35,4,0
154,Harbour Town Golf Links,3,4,469,4.156,+.156,0,23,204,54,7,0
156,Torrey Pines Golf Course (South Course),14,4,437,4.155,+.155,0,32,154,61,5,0
157,Torrey Pines Golf Course (South Course),1,4,451,4.154,+.154,0,40,174,72,5,1
157,Torrey Pines Golf Course (South Course),17,4,443,4.154,+.154,0,31,191,64,6,0
157,Arnold Palmer's Bay Hill Club & Lodge,11,4,438,4.154,+.154,0,37,153,41,12,3
157,Innisbrook Resort (Copperhead Course),13,3,200,3.154,+.154,0,56,296,95,8,5
161,Oakmont Country Club,5,4,408,4.153,+.153,0,55,286,88,11,4
162,Torrey Pines Golf Course (South Course),5,4,454,4.151,+.151,0,30,194,62,6,0
163,PGA National Resort (The Champion Course),15,3,179,3.149,+.149,0,63,274,54,30,3
163,Colonial Country Club,17,4,399,4.149,+.149,0,62,248,104,9,1
165,La Quinta Country Club,2,4,434,4.148,+.148,0,18,101,32,3,1
165,La Quinta Country Club,14,4,469,4.148,+.148,0,14,108,31,0,2
167,Dunes Golf and Beach Club,18,4,441,4.147,+.147,0,47,256,93,5,1
167,The Renaissance Club,1,4,464,4.147,+.147,1,57,287,118,5,0
169,Vidanta Vallarta,8,4,476,4.146,+.146,0,52,275,72,17,2
169,Silverado Resort (North Course),7,3,212,3.146,+.146,0,47,283,95,6,1
171,Torrey Pines Golf Course (South Course),7,4,462,4.143,+.143,0,24,173,50,5,0
172,Royal Portrush Golf Club,8,4,434,4.142,+.142,0,49,307,82,11,3
173,Augusta National Golf Club,12,3,155,3.139,+.139,0,40,190,53,12,1
173,Augusta National Golf Club,16,3,170,3.139,+.139,0,44,181,59,10,2
173,Puntacana Resort (Corales Golf Course),13,4,446,4.139,+.139,0,48,260,86,9,0
173,Quail Hollow Club,2,4,452,4.139,+.139,0,74,266,101,17,1
177,Spyglass Hill Golf Course,13,4,460,4.138,+.138,0,11,50,16,3,0
178,Nicklaus Tournament Course,8,3,172,3.136,+.136,0,23,98,22,11,0
179,Torrey Pines Golf Course (South Course),10,4,454,4.135,+.135,0,22,178,48,4,0
179,Innisbrook Resort (Copperhead Course),18,4,445,4.135,+.135,0,46,312,97,4,1
179,Yokohama Country Club,12,4,458,4.135,+.135,0,34,206,68,4,0
182,Torrey Pines Golf Course (South Course),14,4,437,4.134,+.134,0,39,188,53,11,1
182,El Cardonal at Diamante,4,4,483,4.134,+.134,0,56,249,64,18,2
184,East Lake Golf Club,16,4,460,4.133,+.133,0,20,73,21,3,3
185,Pete Dye Stadium Course,15,4,468,4.132,+.132,0,22,157,44,4,0
186,Pebble Beach Golf Links,5,3,195,3.131,+.131,0,30,149,53,4,0
187,Puntacana Resort (Corales Golf Course),2,3,239,3.129,+.129,1,35,278,89,0,0
188,Detroit Golf Club,11,3,233,3.128,+.128,0,41,347,89,7,0
188,The Renaissance Club,15,4,488,4.128,+.128,0,63,288,111,6,0
190,Pebble Beach Golf Links,17,3,178,3.127,+.127,0,20,168,46,2,0
190,PGA National Resort (The Champion Course),14,4,465,4.127,+.127,0,56,273,82,11,2
192,Hurstbourne Country Club (Championship Course),5,4,430,4.125,+.125,0,55,293,89,8,2
193,Waialae Country Club,2,4,423,4.124,+.124,1,45,295,89,6,0
193,Waialae Country Club,6,4,460,4.124,+.124,0,56,285,81,13,1
193,TPC San Antonio (Oaks Course),3,3,171,3.124,+.124,0,46,296,60,16,2
193,TPC Craig Ranch,10,4,491,4.124,+.124,0,47,303,99,2,0
193,Royal Portrush Golf Club,9,4,432,4.124,+.124,0,61,282,102,6,1
198,Torrey Pines Golf Course (South Course),16,3,227,3.123,+.123,0,31,164,52,5,0
199,Sea Island Golf Club (Plantation Course),11,3,216,3.122,+.122,0,9,122,23,1,1
200,TPC Craig Ranch,13,4,512,4.120,+.120,0,60,283,102,6,0
200,The Philadelphia Cricket Club (Wissahickon Course),16,3,215,3.120,+.120,0,34,189,52,8,0
200,TPC Southwind,7,4,482,4.120,+.120,0,29,187,58,2,0
200,Silverado Resort (North Course),11,3,189,3.120,+.120,0,49,293,80,9,1
204,Royal Portrush Golf Club,18,4,474,4.119,+.119,0,41,324,80,6,1
205,Arnold Palmer's Bay Hill Club & Lodge,9,4,480,4.118,+.118,0,35,153,52,6,0
205,Detroit Golf Club,12,4,489,4.118,+.118,0,46,343,87,8,0
207,Vidanta Vallarta,4,4,520,4.117,+.117,0,44,283,89,2,0
207,Muirfield Village Golf Club,16,3,218,3.117,+.117,0,39,160,48,9,1
209,Torrey Pines Golf Course (South Course),13,5,621,5.116,+.116,0,41,187,57,3,4
209,TPC Sawgrass (THE PLAYERS Stadium Course),6,4,413,4.116,+.116,0,66,260,94,11,0
209,Hurstbourne Country Club (Championship Course),13,3,186,3.116,+.116,0,43,315,86,1,2
212,Dunes Golf and Beach Club,5,3,216,3.114,+.114,0,43,274,81,4,0
213,Memorial Park Golf Course,7,3,216,3.113,+.113,0,50,307,73,12,1
213,Caves Valley Golf Club,13,3,245,3.113,+.113,0,17,144,29,5,0
213,The Country Club of Jackson,6,4,482,4.113,+.113,0,40,280,71,7,0
216,Plantation Course at Kapalua,1,4,520,4.111,+.111,0,17,178,38,1,1
216,TPC Scottsdale (Stadium Course),12,3,192,3.111,+.111,0,38,307,59,11,1
216,TPC Sawgrass (THE PLAYERS Stadium Course),17,3,141,3.111,+.111,0,69,281,53,22,6
216,The Country Club of Jackson,10,3,223,3.111,+.111,0,40,278,76,4,0
220,Detroit Golf Club,9,3,207,3.110,+.110,0,62,316,98,7,1
221,Silverado Resort (North Course),2,3,197,3.109,+.109,0,38,312,79,3,0
222,TPC River Highlands,12,4,411,4.108,+.108,0,38,185,44,9,2
223,Black Desert Resort,16,4,506,4.105,+.105,0,54,261,63,9,4
224,TPC Sawgrass (THE PLAYERS Stadium Course),13,3,183,3.104,+.104,1,53,292,70,15,0
224,Memorial Park Golf Course,11,3,237,3.104,+.104,0,41,318,81,3,0
226,La Quinta Country Club,12,3,202,3.103,+.103,0,13,115,25,2,0
226,Caves Valley Golf Club,18,4,470,4.103,+.103,0,29,127,30,8,1
228,Innisbrook Resort (Copperhead Course),2,4,435,4.102,+.102,0,70,290,85,13,2
229,TPC Scottsdale (Stadium Course),7,3,215,3.101,+.101,0,39,297,79,1,0
229,PGA National Resort (The Champion Course),2,4,464,4.101,+.101,0,40,309,68,6,1
229,Colonial Country Club,15,4,431,4.101,+.101,0,56,280,77,11,0
232,TPC San Antonio (Oaks Course),7,3,207,3.100,+.100,0,41,297,81,1,0
233,The Country Club of Jackson,16,4,479,4.098,+.098,0,62,253,67,14,2
234,PGA National Resort (The Champion Course),7,3,226,3.097,+.097,0,44,300,75,5,0
234,Muirfield Village Golf Club,9,4,417,4.097,+.097,0,39,167,40,9,2
234,Royal Portrush Golf Club,3,3,176,3.097,+.097,0,56,305,83,7,1
237,Waialae Country Club,11,3,194,3.096,+.096,0,44,315,69,7,1
237,Innisbrook Resort (Copperhead Course),7,4,420,4.096,+.096,0,55,317,78,9,1
237,Quail Hollow Club,5,4,449,4.096,+.096,0,51,318,85,5,0
240,Detroit Golf Club,6,4,461,4.095,+.095,0,49,345,86,3,1
240,Silverado Resort (North Course),3,4,424,4.095,+.095,0,59,285,78,8,2
242,TPC Scottsdale (Stadium Course),6,4,432,4.094,+.094,0,62,262,83,9,0
243,Pete Dye Stadium Course,3,4,471,4.093,+.093,0,22,166,35,4,0
243,Innisbrook Resort (Copperhead Course),6,4,465,4.093,+.093,0,62,301,89,8,0
243,Muirfield Village Golf Club,2,4,459,4.093,+.093,0,33,175,42,6,1
243,Yokohama Country Club,10,4,431,4.093,+.093,0,48,199,56,6,3
247,Colonial Country Club,12,4,457,4.092,+.092,0,50,290,79,5,0
247,Oakmont Country Club,11,4,400,4.092,+.092,0,65,286,82,9,2
247,Caves Valley Golf Club,6,3,220,3.092,+.092,0,14,152,26,3,0
250,Augusta National Golf Club,7,4,450,4.091,+.091,0,44,186,61,5,0
251,TPC San Antonio (Oaks Course),5,4,401,4.090,+.090,0,64,269,75,9,3
252,Torrey Pines Golf Course (South Course),10,4,454,4.089,+.089,0,45,181,61,5,0
253,Torrey Pines Golf Course (North Course),14,4,451,4.088,+.088,0,14,106,27,0,0
253,Spyglass Hill Golf Course,2,4,349,4.088,+.088,0,4,66,9,1,0
255,Puntacana Resort (Corales Golf Course),1,4,433,4.087,+.087,0,50,284,59,6,4
255,Dunes Golf and Beach Club,7,4,426,4.087,+.087,0,56,261,79,6,0
255,Caves Valley Golf Club,15,4,491,4.087,+.087,0,28,129,31,7,0
255,Yokohama Country Club,18,4,475,4.087,+.087,0,48,195,63,6,0
259,Arnold Palmer's Bay Hill Club & Lodge,1,4,461,4.085,+.085,0,39,157,43,4,3
260,Memorial Park Golf Course,15,3,155,3.084,+.084,0,54,314,61,13,1
261,PGA National Resort (The Champion Course),16,4,434,4.083,+.083,0,56,292,66,6,4
261,TPC River Highlands,16,3,171,3.083,+.083,0,32,199,40,6,1
261,East Lake Golf Club,4,4,465,4.083,+.083,0,12,89,16,3,0
264,Torrey Pines Golf Course (South Course),8,3,177,3.082,+.082,0,39,194,55,4,0
264,Caves Valley Golf Club,1,4,481,4.082,+.082,0,37,114,36,7,1
266,Arnold Palmer's Bay Hill Club & Lodge,7,3,199,3.081,+.081,0,22,184,38,2,0
267,TPC Southwind,17,4,505,4.080,+.080,0,45,171,53,7,0
268,Memorial Park Golf Course,4,4,490,4.079,+.079,0,43,324,74,2,0
268,Puntacana Resort (Corales Golf Course),16,4,461,4.079,+.079,0,41,293,65,4,0
270,The Philadelphia Cricket Club (Wissahickon Course),10,4,449,4.078,+.078,0,34,196,50,3,0
270,Colonial Country Club,3,4,475,4.078,+.078,0,47,301,73,2,1
272,La Quinta Country Club,3,3,202,3.077,+.077,0,10,128,13,3,1
272,Sedgefield Country Club,16,3,175,3.077,+.077,0,52,325,70,7,1
274,Harbour Town Golf Links,10,4,451,4.076,+.076,0,32,210,41,4,1
274,Silverado Resort (North Course),17,3,182,3.076,+.076,0,61,295,60,14,2
276,TPC Scottsdale (Stadium Course),14,4,490,4.075,+.075,0,50,292,68,5,1
276,Torrey Pines Golf Course (South Course),1,4,451,4.075,+.075,1,25,181,44,1,0
278,TPC Sawgrass (THE PLAYERS Stadium Course),15,4,470,4.074,+.074,0,57,299,62,12,1
278,Muirfield Village Golf Club,8,3,200,3.074,+.074,0,42,158,53,4,0
280,Harbour Town Golf Links,11,4,436,4.073,+.073,0,37,196,52,3,0
280,TPC Deere Run,12,3,215,3.073,+.073,0,57,298,77,6,0
280,TPC Twin Cities,3,4,501,4.073,+.073,0,65,306,86,5,1
283,Torrey Pines Golf Course (South Course),15,4,480,4.071,+.071,0,31,176,41,4,0
284,Innisbrook Resort (Copperhead Course),10,4,445,4.070,+.070,0,62,312,79,6,1
284,Oakmont Country Club,14,4,379,4.070,+.070,1,72,279,80,11,1
284,The Country Club of Jackson,4,3,181,3.070,+.070,2,46,276,70,4,0
287,Arnold Palmer's Bay Hill Club & Lodge,3,4,434,4.069,+.069,0,43,151,46,4,2
288,Memorial Park Golf Course,18,4,503,4.068,+.068,1,52,315,67,7,1
