rank,courseName,hole,par,yards,avg,+/-,eagle-,birdie,par,bogey,dblBogey,dblBogey+
288,Colonial Country Club,14,4,456,4.068,+.068,0,45,308,68,3,0
288,TPC Toronto at Osprey Valley (North Course),11,3,225,3.068,+.068,0,88,276,49,25,6
288,Sedgefield Country Club,7,3,223,3.068,+.068,0,69,297,81,6,2
292,TPC Craig Ranch,16,4,492,4.067,+.067,0,45,335,67,4,0
293,Black Desert Resort,4,4,488,4.066,+.066,0,68,245,68,6,4
293,Sea Island Golf Club (Seaside Course),10,4,418,4.066,+.066,0,45,201,47,9,0
295,Nicklaus Tournament Course,3,3,192,3.065,+.065,0,15,115,23,1,0
295,Memorial Park Golf Course,6,4,443,4.065,+.065,0,54,314,67,8,0
297,Pebble Beach Golf Links,10,4,446,4.064,+.064,0,37,153,41,4,1
297,PGA National Resort (The Champion Course),5,3,217,3.064,+.064,0,49,312,51,11,1
297,Sedgefield Country Club,10,4,440,4.064,+.064,0,63,305,82,5,0
297,Sedgefield Country Club,6,4,423,4.064,+.064,0,68,303,74,8,2
297,Black Desert Resort,15,3,202,3.064,+.064,0,45,282,59,4,1
297,Sea Island Golf Club (Plantation Course),9,4,481,4.064,+.064,0,23,104,25,4,0
303,Spyglass Hill Golf Course,8,4,399,4.063,+.063,0,7,61,12,0,0
303,TPC Sawgrass (THE PLAYERS Stadium Course),4,4,387,4.063,+.063,0,90,247,74,17,3
303,TPC Toronto at Osprey Valley (North Course),10,4,416,4.063,+.063,0,81,280,67,11,5
306,Pete Dye Stadium Course,9,4,452,4.062,+.062,0,25,166,33,3,0
306,Pete Dye Stadium Course,10,4,405,4.062,+.062,2,27,158,35,5,0
306,Caves Valley Golf Club,14,4,469,4.062,+.062,0,29,127,37,2,0
309,TPC River Highlands,1,4,434,4.061,+.061,0,45,181,43,8,1
309,Yokohama Country Club,7,3,182,3.061,+.061,0,35,228,46,2,1
311,Royal Portrush Golf Club,13,3,199,3.060,+.060,1,55,318,72,6,0
312,TPC Toronto at Osprey Valley (North Course),7,3,237,3.059,+.059,0,46,330,64,4,0
312,El Cardonal at Diamante,15,4,462,4.059,+.059,0,87,230,50,16,6
314,Muirfield Village Golf Club,3,4,392,4.058,+.058,1,54,146,45,8,3
315,The Country Club of Jackson,7,3,214,3.055,+.055,0,37,303,57,1,0
316,TPC River Highlands,17,4,431,4.054,+.054,0,40,190,42,5,1
316,TPC Southwind,10,4,465,4.054,+.054,0,43,182,45,5,1
318,Silverado Resort (North Course),14,4,360,4.053,+.053,0,77,273,66,14,2
318,Port Royal Golf Course,12,4,383,4.053,+.053,1,46,269,58,5,0
320,Harbour Town Golf Links,4,3,200,3.052,+.052,0,30,221,29,8,0
321,Torrey Pines Golf Course (South Course),3,3,201,3.051,+.051,0,44,198,44,3,3
321,TPC Southwind,18,4,453,4.051,+.051,0,54,167,44,10,1
321,Caves Valley Golf Club,3,3,197,3.051,+.051,0,28,130,36,1,0
321,Caves Valley Golf Club,10,4,467,4.051,+.051,0,25,136,33,1,0
325,Waialae Country Club,15,4,398,4.050,+.050,0,53,315,61,7,0
325,Colonial Country Club,8,3,194,3.050,+.050,0,54,300,65,5,0
325,TPC River Highlands,5,3,223,3.050,+.050,0,27,211,39,1,0
325,TPC River Highlands,8,3,202,3.050,+.050,0,38,193,42,5,0
325,East Lake Golf Club,9,3,260,3.050,+.050,0,11,92,17,0,0
330,Harbour Town Golf Links,14,3,192,3.049,+.049,0,34,213,34,7,0
330,The Renaissance Club,12,3,204,3.049,+.049,0,45,358,62,3,0
332,Innisbrook Resort (Copperhead Course),17,3,215,3.048,+.048,2,55,325,75,3,0
333,Pebble Beach Golf Links,12,3,202,3.047,+.047,0,38,153,42,2,1
333,Memorial Park Golf Course,14,4,529,4.047,+.047,1,58,308,71,5,0
335,TPC Sawgrass (THE PLAYERS Stadium Course),7,4,450,4.046,+.046,1,74,272,73,10,1
335,Innisbrook Resort (Copperhead Course),4,3,195,3.046,+.046,0,50,340,69,1,0
335,Royal Portrush Golf Club,6,3,193,3.046,+.046,0,51,335,61,4,1
338,TPC San Antonio (Oaks Course),6,4,403,4.045,+.045,0,51,306,57,5,1
338,Harbour Town Golf Links,17,3,198,3.045,+.045,0,34,213,35,6,0
338,Harbour Town Golf Links,12,4,430,4.045,+.045,0,40,199,45,4,0
341,Vidanta Vallarta,9,3,174,3.043,+.043,0,64,283,63,6,2
341,Detroit Golf Club,18,4,455,4.043,+.043,0,63,346,66,9,0
341,Hurstbourne Country Club (Championship Course),9,3,162,3.043,+.043,0,53,324,68,2,0
344,TPC Deere Run,7,3,226,3.041,+.041,0,75,273,87,3,0
345,Pete Dye Stadium Course,17,3,165,3.040,+.040,0,28,176,12,8,3
345,Puntacana Resort (Corales Golf Course),18,4,501,4.040,+.040,0,53,287,57,6,0
345,Colonial Country Club,10,4,407,4.040,+.040,2,57,293,66,6,0
348,TPC Sawgrass (THE PLAYERS Stadium Course),1,4,424,4.039,+.039,1,67,286,68,9,0
349,Grand Reserve Golf Club,17,3,236,3.038,+.038,0,49,311,55,3,1
349,Grand Reserve Golf Club,13,4,455,4.038,+.038,0,62,290,57,9,1
349,TPC San Antonio (Oaks Course),10,4,447,4.038,+.038,1,58,291,64,6,0
349,Harbour Town Golf Links,7,3,217,3.038,+.038,0,40,199,47,2,0
349,Colonial Country Club,13,3,199,3.038,+.038,1,60,288,72,3,0
349,Black Desert Resort,6,4,450,4.038,+.038,0,69,253,56,12,1
355,Arnold Palmer's Bay Hill Club & Lodge,5,4,390,4.037,+.037,0,31,177,36,2,0
355,Innisbrook Resort (Copperhead Course),12,4,380,4.037,+.037,0,72,304,80,3,1
355,Silverado Resort (North Course),4,4,407,4.037,+.037,1,79,262,83,7,0
358,Grand Reserve Golf Club,5,4,459,4.036,+.036,0,53,301,62,3,0
359,Colonial Country Club,7,4,480,4.035,+.035,0,63,287,70,4,0
360,TPC Scottsdale (Stadium Course),8,4,475,4.034,+.034,0,52,300,62,2,0
360,TPC Deere Run,16,3,158,3.034,+.034,0,66,295,73,4,0
360,Hurstbourne Country Club (Championship Course),4,4,358,4.034,+.034,2,73,294,65,12,1
360,The Renaissance Club,17,3,203,3.034,+.034,0,65,326,73,4,0
364,Quail Hollow Club,4,3,184,3.033,+.033,1,58,326,73,1,0
364,Colonial Country Club,9,4,413,4.033,+.033,1,63,300,43,15,2
364,Royal Portrush Golf Club,10,4,450,4.033,+.033,1,65,313,64,9,0
367,TPC Sawgrass (THE PLAYERS Stadium Course),3,3,182,3.032,+.032,0,71,281,74,4,1
367,Oakmont Country Club,13,3,182,3.032,+.032,0,61,309,73,1,0
369,TPC Scottsdale (Stadium Course),2,4,442,4.031,+.031,0,61,284,68,3,0
369,Harbour Town Golf Links,8,4,473,4.031,+.031,0,39,206,38,5,0
369,Muirfield Village Golf Club,13,4,455,4.031,+.031,0,42,166,48,1,0
372,Waialae Country Club,17,3,194,3.030,+.030,0,63,301,69,2,1
372,Innisbrook Resort (Copperhead Course),15,3,215,3.030,+.030,0,60,326,74,0,0
372,Silverado Resort (North Course),16,4,422,4.030,+.030,0,66,295,63,8,0
375,TPC Craig Ranch,7,3,232,3.029,+.029,0,58,327,61,5,0
375,TPC Craig Ranch,1,4,431,4.029,+.029,0,64,316,66,4,1
377,PGA National Resort (The Champion Course),11,4,450,4.028,+.028,0,71,286,53,12,2
378,Torrey Pines Golf Course (North Course),16,4,393,4.027,+.027,0,29,91,22,4,1
378,Puntacana Resort (Corales Golf Course),15,4,421,4.027,+.027,0,69,260,69,4,1
380,TPC Scottsdale (Stadium Course),5,4,470,4.026,+.026,0,61,292,55,7,1
381,The Philadelphia Cricket Club (Wissahickon Course),11,4,487,4.025,+.025,0,49,183,48,2,1
381,TPC River Highlands,10,4,462,4.025,+.025,0,40,195,39,4,0
381,TPC River Highlands,7,4,443,4.025,+.025,0,40,193,43,2,0
384,Torrey Pines Golf Course (South Course),2,4,389,4.024,+.024,0,50,186,55,1,0
385,Puntacana Resort (Corales Golf Course),10,4,496,4.022,+.022,0,57,282,62,2,0
386,Augusta National Golf Club,6,3,180,3.020,+.020,0,41,208,47,0,0
386,Black Desert Resort,3,3,198,3.020,+.020,0,65,258,63,5,0
388,Nicklaus Tournament Course,18,4,453,4.019,+.019,0,26,106,18,3,1
388,TPC Sawgrass (THE PLAYERS Stadium Course),10,4,419,4.019,+.019,1,84,270,63,9,4
390,Oakmont Country Club,12,5,632,5.018,+.018,5,106,231,84,14,4
391,Grand Reserve Golf Club,2,3,192,3.017,+.017,0,51,312,54,2,0
391,TPC Twin Cities,13,3,228,3.017,+.017,0,71,319,67,6,0
393,TPC Craig Ranch,11,4,467,4.016,+.016,0,67,316,63,4,1
394,Vidanta Vallarta,2,4,498,4.014,+.014,1,62,288,64,3,0
394,The Philadelphia Cricket Club (Wissahickon Course),12,4,424,4.014,+.014,1,40,202,34,6,0
396,Nicklaus Tournament Course,17,3,209,3.013,+.013,0,22,108,24,0,0
396,Spyglass Hill Golf Course,6,4,446,4.013,+.013,0,13,53,14,0,0
398,TPC Craig Ranch,3,4,420,4.011,+.011,0,70,312,63,6,0
399,Grand Reserve Golf Club,15,3,203,3.010,+.010,0,63,290,65,1,0
399,Harbour Town Golf Links,18,4,472,4.010,+.010,1,49,192,41,2,3
401,Dunes Golf and Beach Club,12,3,195,3.007,+.007,0,58,290,49,3,2
402,TPC Scottsdale (Stadium Course),16,3,163,3.005,+.005,1,69,279,61,6,0
403,Plantation Course at Kapalua,17,4,550,4.004,+.004,0,31,179,21,3,1
403,Plantation Course at Kapalua,2,3,219,3.004,+.004,0,30,175,29,1,0
403,Muirfield Village Golf Club,11,5,588,5.004,+.004,1,64,139,42,9,2
406,Grand Reserve Golf Club,3,4,465,4.002,+.002,1,71,281,58,8,0
406,Memorial Park Golf Course,17,4,405,4.002,+.002,3,81,280,71,7,1
406,Sedgefield Country Club,12,3,235,3.002,+.002,0,76,307,67,5,0
409,La Quinta Country Club,10,4,405,4.000,E,0,32,101,15,5,2
409,Spyglass Hill Golf Course,4,4,370,4.000,E,0,14,54,10,2,0
409,Sea Island Golf Club (Plantation Course),7,3,156,3.000,E,0,24,112,16,4,0
412,TPC Scottsdale (Stadium Course),9,4,453,3.998,-.002,0,66,290,56,3,1
412,Puntacana Resort (Corales Golf Course),8,4,399,3.998,-.002,2,75,271,35,17,3
412,TPC Craig Ranch,15,3,216,2.998,-.002,0,64,330,52,4,1
412,The Renaissance Club,6,3,147,2.998,-.002,1,76,320,66,4,1
412,Hurstbourne Country Club (Championship Course),15,4,377,3.998,-.002,0,91,289,49,14,4
417,Sea Island Golf Club (Seaside Course),3,3,204,2.997,-.003,1,40,221,39,1,0
418,Arnold Palmer's Bay Hill Club & Lodge,10,4,400,3.996,-.004,0,50,153,37,6,0
418,The Philadelphia Cricket Club (Wissahickon Course),7,4,435,3.996,-.004,0,51,186,42,4,0
418,Sedgefield Country Club,4,4,428,3.996,-.004,0,90,291,62,10,2
421,El Cardonal at Diamante,12,4,401,3.995,-.005,0,89,236,43,19,2
422,Augusta National Golf Club,14,4,440,3.993,-.007,1,60,179,52,4,0
422,Dunes Golf and Beach Club,2,4,485,3.993,-.007,0,60,290,47,5,0
422,Dunes Golf and Beach Club,3,4,454,3.993,-.007,0,62,284,53,3,0
422,Sedgefield Country Club,2,4,442,3.993,-.007,0,94,284,64,12,1
422,TPC Southwind,13,4,472,3.993,-.007,0,46,190,37,2,1
427,TPC Toronto at Osprey Valley (North Course),5,4,497,3.991,-.009,1,77,297,65,3,1
427,Oakmont Country Club,4,5,611,4.991,-.009,5,115,225,81,13,5
429,Torrey Pines Golf Course (South Course),17,4,443,3.988,-.012,1,52,155,39,4,1
429,Dunes Golf and Beach Club,11,4,450,3.988,-.012,0,72,268,57,5,0
429,Dunes Golf and Beach Club,17,3,170,2.988,-.012,0,53,304,42,3,0
432,La Quinta Country Club,15,3,206,2.987,-.013,0,27,103,25,0,0
432,Spyglass Hill Golf Course,16,4,476,3.987,-.013,0,11,60,8,1,0
432,Sedgefield Country Club,1,4,418,3.987,-.013,0,80,308,60,7,0
435,Caves Valley Golf Club,5,4,367,3.985,-.015,0,44,114,33,4,0
436,Torrey Pines Golf Course (South Course),8,3,177,2.984,-.016,0,34,188,30,0,0
436,TPC Toronto at Osprey Valley (North Course),2,4,481,3.984,-.016,1,75,302,62,4,0
436,Yokohama Country Club,17,4,439,3.984,-.016,0,60,205,40,6,1
439,The Renaissance Club,4,4,422,3.983,-.017,0,85,313,63,7,0
440,TPC Southwind,1,4,434,3.982,-.018,0,47,190,36,3,0
441,TPC San Antonio (Oaks Course),16,3,183,2.981,-.019,1,65,297,55,2,0
441,TPC San Antonio (Oaks Course),8,5,604,4.981,-.019,4,82,266,57,8,3
441,Detroit Golf Club,15,3,160,2.981,-.019,0,86,325,69,4,0
441,Detroit Golf Club,16,4,446,3.981,-.019,0,77,344,58,5,0
441,Sea Island Golf Club (Plantation Course),5,4,473,3.981,-.019,0,22,117,16,0,1
446,Puntacana Resort (Corales Golf Course),6,4,387,3.980,-.020,0,80,254,66,3,0
446,Sea Island Golf Club (Seaside Course),12,3,223,2.980,-.020,0,38,232,32,0,0
446,Sea Island Golf Club (Seaside Course),4,4,429,3.980,-.020,0,58,201,37,4,2
449,TPC Deere Run,3,3,186,2.979,-.021,0,64,322,49,3,0
449,El Cardonal at Diamante,13,4,475,3.979,-.021,0,76,255,51,5,2
449,Port Royal Golf Course,14,4,393,3.979,-.021,0,74,248,52,2,3
449,Port Royal Golf Course,3,3,148,2.979,-.021,0,65,262,47,5,0
453,Vidanta Vallarta,5,3,208,2.978,-.022,0,70,288,59,1,0
453,TPC Twin Cities,17,3,202,2.978,-.022,0,82,323,45,12,1
455,Silverado Resort (North Course),6,4,417,3.977,-.023,1,75,292,61,3,0
456,TPC Scottsdale (Stadium Course),4,3,183,2.976,-.024,0,58,313,43,1,1
456,Grand Reserve Golf Club,16,4,448,3.976,-.024,1,68,294,52,4,0
458,TPC Southwind,4,3,196,2.975,-.025,0,46,197,29,3,1
458,East Lake Golf Club,2,3,205,2.975,-.025,0,14,96,9,1,0
458,Silverado Resort (North Course),1,4,436,3.975,-.025,1,86,275,64,5,1
461,TPC Scottsdale (Stadium Course),10,4,428,3.974,-.026,1,64,296,55,0,0
461,PGA National Resort (The Champion Course),12,4,438,3.974,-.026,0,63,312,46,3,0
461,TPC Twin Cities,11,4,467,3.974,-.026,1,82,315,59,5,1
461,Black Desert Resort,12,4,459,3.974,-.026,0,62,280,46,3,0
461,El Cardonal at Diamante,11,3,189,2.974,-.026,0,62,276,50,1,0
461,El Cardonal at Diamante,8,4,474,3.974,-.026,1,67,266,51,4,0
461,Sea Island Golf Club (Seaside Course),18,4,470,3.974,-.026,0,43,226,31,2,0
468,TPC Twin Cities,14,4,437,3.972,-.028,0,91,307,53,11,1
469,Vidanta Vallarta,15,4,459,3.971,-.029,0,77,282,54,4,1
469,Port Royal Golf Course,1,4,438,3.971,-.029,0,70,262,38,7,2
471,Sea Island Golf Club (Seaside Course),17,3,192,2.970,-.030,0,44,223,35,0,0
471,Sea Island Golf Club (Seaside Course),2,4,415,3.970,-.030,1,50,210,39,2,0
473,TPC Scottsdale (Stadium Course),1,4,403,3.969,-.031,0,64,302,49,1,0
473,PGA National Resort (The Champion Course),17,3,175,2.969,-.031,0,73,301,41,8,1
473,TPC San Antonio (Oaks Course),12,4,410,3.969,-.031,0,86,268,60,5,1
476,Waialae Country Club,7,3,176,2.968,-.032,0,76,303,53,3,1
476,TPC River Highlands,9,4,389,3.968,-.032,0,46,199,29,4,0
476,TPC River Highlands,18,4,444,3.968,-.032,0,50,188,39,1,0
479,The Country Club of Jackson,18,4,505,3.967,-.033,0,65,286,42,5,0
480,Torrey Pines Golf Course (North Course),11,4,339,3.966,-.034,1,26,98,21,1,0
480,TPC Scottsdale (Stadium Course),18,4,442,3.966,-.034,1,85,264,61,3,2
482,Harbour Town Golf Links,1,4,410,3.965,-.035,0,41,220,23,4,0
482,Dunes Golf and Beach Club,6,4,450,3.965,-.035,0,63,291,47,1,0
484,TPC Southwind,9,4,457,3.964,-.036,1,55,178,38,3,1
485,Spyglass Hill Golf Course,9,4,431,3.962,-.038,0,16,51,13,0,0
485,Vidanta Vallarta,13,3,170,2.962,-.038,0,57,322,37,2,0
485,Grand Reserve Golf Club,10,4,447,3.962,-.038,0,67,302,49,1,0
485,The Renaissance Club,13,4,418,3.962,-.038,1,86,330,35,13,3
489,The Philadelphia Cricket Club (Wissahickon Course),3,3,172,2.961,-.039,0,48,201,31,3,0
490,Pete Dye Stadium Course,7,4,346,3.960,-.040,0,66,124,20,15,2
490,Puntacana Resort (Corales Golf Course),9,3,204,2.960,-.040,0,65,291,45,2,0
490,Hurstbourne Country Club (Championship Course),16,4,446,3.960,-.040,0,82,301,64,0,0
490,Sea Island Golf Club (Seaside Course),14,4,442,3.960,-.040,0,59,204,33,4,2
494,Memorial Park Golf Course,12,4,496,3.959,-.041,1,73,314,53,2,0
494,TPC Toronto at Osprey Valley (North Course),4,3,158,2.959,-.041,0,87,291,63,3,0
496,TPC San Antonio (Oaks Course),11,4,405,3.957,-.043,1,72,292,54,1,0
496,TPC Toronto at Osprey Valley (North Course),3,4,440,3.957,-.043,0,88,290,63,3,0
496,Sea Island Golf Club (Seaside Course),9,4,452,3.957,-.043,0,53,213,32,4,0
499,Augusta National Golf Club,9,4,460,3.956,-.044,1,60,191,39,5,0
499,Silverado Resort (North Course),8,4,391,3.956,-.044,1,99,270,48,8,6
499,El Cardonal at Diamante,7,4,489,3.956,-.044,0,72,269,42,5,1
502,The Country Club of Jackson,2,4,418,3.955,-.045,0,78,264,52,4,0
502,Sea Island Golf Club (Plantation Course),6,4,452,3.955,-.045,0,24,117,13,2,0
504,Pebble Beach Golf Links,3,4,404,3.953,-.047,1,45,156,32,2,0
504,TPC River Highlands,3,4,440,3.953,-.047,0,53,189,32,4,0
506,Grand Reserve Golf Club,1,4,430,3.952,-.048,1,69,301,45,3,0
507,Arnold Palmer's Bay Hill Club & Lodge,13,4,382,3.951,-.049,0,52,163,23,7,1
508,East Lake Golf Club,7,4,495,3.950,-.050,0,18,90,12,0,0
509,Plantation Course at Kapalua,4,4,422,3.949,-.051,0,44,168,16,5,2
510,La Quinta Country Club,16,4,454,3.948,-.052,0,31,103,19,2,0
510,Nicklaus Tournament Course,9,4,461,3.948,-.052,0,35,98,17,3,1
512,Pete Dye Stadium Course,14,4,389,3.947,-.053,0,49,147,26,4,1
513,Torrey Pines Golf Course (North Course),1,4,421,3.946,-.054,1,31,92,21,2,0
513,Memorial Park Golf Course,9,3,182,2.946,-.054,0,75,318,49,1,0
513,Colonial Country Club,6,4,410,3.946,-.054,1,81,283,58,1,0
513,TPC Twin Cities,15,4,451,3.946,-.054,2,84,321,49,7,0
513,TPC Southwind,12,4,406,3.946,-.054,0,68,165,34,8,1
518,Waialae Country Club,1,4,480,3.945,-.055,0,77,311,43,5,0
518,TPC Deere Run,11,4,432,3.945,-.055,2,82,300,48,4,2
518,Royal Portrush Golf Club,15,4,429,3.945,-.055,0,78,322,51,1,0
521,Black Desert Resort,8,3,152,2.944,-.056,0,73,274,38,5,1
522,Detroit Golf Club,2,4,453,3.942,-.058,1,88,339,50,6,0
522,TPC Southwind,8,3,171,2.942,-.058,0,46,200,30,0,0
522,Yokohama Country Club,9,4,432,3.942,-.058,0,73,192,40,6,1
525,TPC Deere Run,1,4,416,3.941,-.059,0,85,300,47,6,0
526,Waialae Country Club,8,4,454,3.940,-.060,0,90,288,52,6,0
526,Waialae Country Club,14,4,430,3.940,-.060,1,85,292,55,3,0
526,TPC San Antonio (Oaks Course),18,5,591,4.940,-.060,3,87,270,54,4,2
526,TPC Craig Ranch,4,3,219,2.940,-.060,0,73,334,42,2,0
530,TPC River Highlands,14,4,421,3.939,-.061,0,56,184,37,1,0
531,Vidanta Vallarta,1,4,415,3.938,-.062,0,94,272,36,16,0
531,Puntacana Resort (Corales Golf Course),3,4,410,3.938,-.062,0,82,276,35,9,1
533,Spyglass Hill Golf Course,3,3,172,2.937,-.063,0,15,55,10,0,0
533,Torrey Pines Golf Course (South Course),2,4,389,3.937,-.063,1,57,154,37,3,0
535,Grand Reserve Golf Club,7,3,202,2.936,-.064,0,75,298,44,2,0
536,TPC Southwind,15,4,395,3.935,-.065,0,65,169,38,3,1
536,The Country Club of Jackson,12,4,449,3.935,-.065,2,84,260,43,8,1
538,Pete Dye Stadium Course,4,3,170,2.934,-.066,0,37,169,20,1,0
539,Silverado Resort (North Course),13,4,375,3.933,-.067,0,100,267,60,4,1
539,Yokohama Country Club,2,4,418,3.933,-.067,0,54,228,27,3,0
541,Grand Reserve Golf Club,18,4,450,3.931,-.069,0,84,286,43,6,0
541,Hurstbourne Country Club (Championship Course),2,4,395,3.931,-.069,1,93,293,56,4,0
543,Dunes Golf and Beach Club,1,4,425,3.930,-.070,0,85,264,50,2,1
544,Torrey Pines Golf Course (South Course),3,3,201,2.929,-.071,2,47,172,29,2,0
545,Plantation Course at Kapalua,11,3,161,2.928,-.072,0,48,160,23,4,0
545,Pebble Beach Golf Links,13,4,445,3.928,-.072,0,45,163,28,0,0
545,Caves Valley Golf Club,9,4,470,3.928,-.072,0,35,139,21,0,0
545,El Cardonal at Diamante,9,3,200,2.928,-.072,0,62,293,34,0,0
549,Sedgefield Country Club,9,4,416,3.927,-.073,1,107,288,45,12,2
550,Augusta National Golf Club,15,5,550,4.926,-.074,6,77,161,38,13,1
550,Port Royal Golf Course,2,5,553,4.926,-.074,1,90,234,44,10,0
552,Pebble Beach Golf Links,1,4,381,3.924,-.076,0,44,167,24,1,0
552,TPC River Highlands,11,3,158,2.924,-.076,0,62,179,33,4,0
554,Plantation Course at Kapalua,8,3,199,2.923,-.077,0,48,160,24,3,0
554,Plantation Course at Kapalua,13,4,383,3.923,-.077,0,49,156,29,1,0
554,Yokohama Country Club,1,4,475,3.923,-.077,0,68,205,35,3,1
557,The Philadelphia Cricket Club (Wissahickon Course),4,4,427,3.922,-.078,2,53,193,35,0,0
557,Muirfield Village Golf Club,14,4,360,3.922,-.078,1,69,143,39,3,2
559,Pete Dye Stadium Course,16,5,600,4.921,-.079,1,64,130,26,2,4
559,Torrey Pines Golf Course (South Course),13,5,621,4.921,-.079,2,59,154,31,6,0
561,Innisbrook Resort (Copperhead Course),5,5,605,4.920,-.080,1,104,289,63,3,0
561,Yokohama Country Club,5,4,436,3.920,-.080,2,72,193,41,2,2
561,El Cardonal at Diamante,5,4,438,3.920,-.080,0,77,270,39,2,1
564,Colonial Country Club,18,4,442,3.917,-.083,1,76,306,39,2,0
564,The Country Club of Jackson,13,3,168,2.917,-.083,0,79,279,35,4,1
564,Yokohama Country Club,3,3,168,2.917,-.083,0,62,216,32,2,0
567,Pebble Beach Golf Links,16,4,403,3.915,-.085,0,44,169,22,1,0
568,Sedgefield Country Club,3,3,174,2.914,-.086,1,99,294,60,1,0
569,Waialae Country Club,16,4,417,3.913,-.087,0,78,322,33,2,1
570,Grand Reserve Golf Club,12,4,386,3.912,-.088,0,76,305,37,1,0
571,Colonial Country Club,16,3,197,2.910,-.090,0,81,302,39,2,0
572,Augusta National Golf Club,3,4,350,3.909,-.091,0,73,181,39,2,1
572,TPC Deere Run,4,4,454,3.909,-.091,0,91,305,37,2,3
572,TPC Southwind,6,4,433,3.909,-.091,0,63,180,30,1,2
575,Memorial Park Golf Course,10,4,456,3.907,-.093,0,93,299,50,1,0
575,TPC Twin Cities,4,3,177,2.907,-.093,0,85,338,38,2,0
577,Plantation Course at Kapalua,7,4,522,3.906,-.094,0,45,168,21,1,0
577,Waialae Country Club,5,4,467,3.906,-.094,0,78,321,37,0,0
579,TPC Craig Ranch,2,4,466,3.905,-.095,1,110,281,50,8,1
579,The Country Club of Jackson,8,4,403,3.905,-.095,1,85,265,45,2,0
581,The Renaissance Club,14,3,161,2.904,-.096,1,86,340,39,2,0
582,La Quinta Country Club,18,4,412,3.903,-.097,0,31,108,16,0,0
583,Grand Reserve Golf Club,8,4,411,3.902,-.098,0,85,293,38,3,0
583,El Cardonal at Diamante,2,3,208,2.902,-.098,0,71,288,27,3,0
583,Port Royal Golf Course,6,4,370,3.902,-.098,1,65,283,30,0,0
586,Memorial Park Golf Course,2,3,167,2.901,-.099,0,89,309,45,0,0
586,The Philadelphia Cricket Club (Wissahickon Course),13,4,423,3.901,-.099,0,59,195,27,2,0
